ID,Title,Brand,Category,Price,Discount %,Rating,Stock,Description,Thumbnail
103,Apple HomePod Mini Cosmic Grey,Apple,mobile-accessories,99.99,18.1,4.62,27,The Apple HomePod Mini in Cosmic Grey is a compact smart speaker that delivers impressive audio and integrates seamlessly with the Apple ecosystem for a smart home experience.,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-homepod-mini-cosmic-grey/thumbnail.webp
104,Apple iPhone Charger,Apple,mobile-accessories,19.99,18.52,4.15,31,The Apple iPhone Charger is a high-quality charger designed for fast and efficient charging of your iPhone. Ensure your device stays powered up and ready to go.,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-iphone-charger/thumbnail.webp
105,Apple MagSafe Battery Pack,Apple,mobile-accessories,99.99,17.17,3.62,1,The Apple MagSafe Battery Pack is a portable and convenient way to add extra battery life to your MagSafe-compatible iPhone. Attach it magnetically for a secure connection.,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-magsafe-battery-pack/thumbnail.webp
106,Apple Watch Series 4 Gold,Apple,mobile-accessories,349.99,12.02,2.74,33,"The Apple Watch Series 4 in Gold is a stylish and advanced smartwatch with features like heart rate monitoring, fitness tracking, and a beautiful Retina display.",https://cdn.dummyjson.com/product-images/mobile-accessories/apple-watch-series-4-gold/thumbnail.webp
107,Beats Flex Wireless Earphones,Beats,mobile-accessories,49.99,5.73,4.24,50,"The Beats Flex Wireless Earphones offer a comfortable and versatile audio experience. With magnetic earbuds and up to 12 hours of battery life, they are ideal for everyday use.",https://cdn.dummyjson.com/product-images/mobile-accessories/beats-flex-wireless-earphones/thumbnail.webp
108,iPhone 12 Silicone Case with MagSafe Plum,Apple,mobile-accessories,29.99,13.85,3.62,69,The iPhone 12 Silicone Case with MagSafe in Plum is a stylish and protective case designed for the iPhone 12. It features MagSafe technology for easy attachment of accessories.,https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/thumbnail.webp
109,Monopod,TechGear,mobile-accessories,19.99,8.58,4.43,48,"The Monopod is a versatile camera accessory for stable and adjustable shooting. Perfect for capturing selfies, group photos, and videos with ease.",https://cdn.dummyjson.com/product-images/mobile-accessories/monopod/thumbnail.webp
110,Selfie Lamp with iPhone,GadgetMaster,mobile-accessories,14.99,19.4,3.55,58,The Selfie Lamp with iPhone is a portable and adjustable LED light designed to enhance your selfies and video calls. Attach it to your iPhone for well-lit photos.,https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-lamp-with-iphone/thumbnail.webp
111,Selfie Stick Monopod,SnapTech,mobile-accessories,12.99,19.12,3.88,11,The Selfie Stick Monopod is a extendable and foldable device for capturing the perfect selfie or group photo. Compatible with smartphones and cameras.,https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-stick-monopod/thumbnail.webp
112,TV Studio Camera Pedestal,ProVision,mobile-accessories,499.99,8.31,2.78,15,The TV Studio Camera Pedestal is a professional-grade camera support system for smooth and precise camera movements in a studio setting. Ideal for broadcast and production.,https://cdn.dummyjson.com/product-images/mobile-accessories/tv-studio-camera-pedestal/thumbnail.webp
113,Generic Motorcycle,Generic Motors,motorcycle,3999.99,12.1,4.91,34,"The Generic Motorcycle is a versatile and reliable bike suitable for various riding preferences. With a balanced design, it provides a comfortable and efficient riding experience.",https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/thumbnail.webp
114,Kawasaki Z800,Kawasaki,motorcycle,8999.99,9.77,3.98,52,"The Kawasaki Z800 is a powerful and agile sportbike known for its striking design and performance. It's equipped with advanced features, making it a favorite among motorcycle enthusiasts.",https://cdn.dummyjson.com/product-images/motorcycle/kawasaki-z800/thumbnail.webp
115,MotoGP CI.H1,MotoGP,motorcycle,14999.99,6.92,2.97,10,The MotoGP CI.H1 is a high-performance motorcycle inspired by MotoGP racing technology. It offers cutting-edge features and precision engineering for an exhilarating riding experience.,https://cdn.dummyjson.com/product-images/motorcycle/motogp-ci.h1/thumbnail.webp
116,Scooter Motorcycle,ScootMaster,motorcycle,2999.99,6.27,2.53,84,The Scooter Motorcycle is a practical and fuel-efficient bike ideal for urban commuting. It features a step-through design and user-friendly controls for easy maneuverability.,https://cdn.dummyjson.com/product-images/motorcycle/scooter-motorcycle/thumbnail.webp
117,Sportbike Motorcycle,SpeedMaster,motorcycle,7499.99,11.58,3.94,0,"The Sportbike Motorcycle is designed for speed and agility, with a sleek and aerodynamic profile. It's suitable for riders looking for a dynamic and thrilling riding experience.",https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/thumbnail.webp
118,Attitude Super Leaves Hand Soap,Attitude,skin-care,8.99,18.49,3.19,94,"Attitude Super Leaves Hand Soap is a natural and nourishing hand soap enriched with the goodness of super leaves. It cleanses and moisturizes your hands, leaving them feeling fresh and soft.",https://cdn.dummyjson.com/product-images/skin-care/attitude-super-leaves-hand-soap/thumbnail.webp
119,Olay Ultra Moisture Shea Butter Body Wash,Olay,skin-care,12.99,16.39,4.51,34,Olay Ultra Moisture Shea Butter Body Wash is a luxurious body wash that hydrates and nourishes your skin with the moisturizing power of shea butter. Enjoy a rich lather and silky-smooth skin.,https://cdn.dummyjson.com/product-images/skin-care/olay-ultra-moisture-shea-butter-body-wash/thumbnail.webp
120,Vaseline Men Body and Face Lotion,Vaseline,skin-care,9.99,13.39,3.16,95,Vaseline Men Body and Face Lotion is a specially formulated lotion designed to provide long-lasting moisture to men's skin. It absorbs quickly and helps keep the skin hydrated and healthy.,https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/thumbnail.webp
121,iPhone 5s,Apple,smartphones,199.99,12.91,2.83,25,"The iPhone 5s is a classic smartphone known for its compact design and advanced features during its release. While it's an older model, it still provides a reliable user experience.",https://cdn.dummyjson.com/product-images/smartphones/iphone-5s/thumbnail.webp
122,iPhone 6,Apple,smartphones,299.99,6.69,3.41,60,"The iPhone 6 is a stylish and capable smartphone with a larger display and improved performance. It introduced new features and design elements, making it a popular choice in its time.",https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp
123,iPhone 13 Pro,Apple,smartphones,1099.99,9.37,4.12,56,"The iPhone 13 Pro is a cutting-edge smartphone with a powerful camera system, high-performance chip, and stunning display. It offers advanced features for users who demand top-notch technology.",https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/thumbnail.webp
124,iPhone X,Apple,smartphones,899.99,19.59,2.51,37,"The iPhone X is a flagship smartphone featuring a bezel-less OLED display, facial recognition technology (Face ID), and impressive performance. It represents a milestone in iPhone design and innovation.",https://cdn.dummyjson.com/product-images/smartphones/iphone-x/thumbnail.webp
125,Oppo A57,Oppo,smartphones,249.99,2.43,3.94,19,"The Oppo A57 is a mid-range smartphone known for its sleek design and capable features. It offers a balance of performance and affordability, making it a popular choice.",https://cdn.dummyjson.com/product-images/smartphones/oppo-a57/thumbnail.webp
126,Oppo F19 Pro Plus,Oppo,smartphones,399.99,18.64,3.51,78,The Oppo F19 Pro Plus is a feature-rich smartphone with a focus on camera capabilities. It boasts advanced photography features and a powerful performance for a premium user experience.,https://cdn.dummyjson.com/product-images/smartphones/oppo-f19-pro-plus/thumbnail.webp
127,Oppo K1,Oppo,smartphones,299.99,18.29,4.25,55,"The Oppo K1 series offers a range of smartphones with various features and specifications. Known for their stylish design and reliable performance, the Oppo K1 series caters to diverse user preferences.",https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/thumbnail.webp
128,Realme C35,Realme,smartphones,149.99,15.3,4.2,48,The Realme C35 is a budget-friendly smartphone with a focus on providing essential features for everyday use. It offers a reliable performance and user-friendly experience.,https://cdn.dummyjson.com/product-images/smartphones/realme-c35/thumbnail.webp
129,Realme X,Realme,smartphones,299.99,6.95,3.7,12,The Realme X is a mid-range smartphone known for its sleek design and impressive display. It offers a good balance of performance and camera capabilities for users seeking a quality device.,https://cdn.dummyjson.com/product-images/smartphones/realme-x/thumbnail.webp
130,Realme XT,Realme,smartphones,349.99,11.51,4.58,80,"The Realme XT is a feature-rich smartphone with a focus on camera technology. It comes equipped with advanced camera sensors, delivering high-quality photos and videos for photography enthusiasts.",https://cdn.dummyjson.com/product-images/smartphones/realme-xt/thumbnail.webp
131,Samsung Galaxy S7,Samsung,smartphones,299.99,19.55,3.3,67,"The Samsung Galaxy S7 is a flagship smartphone known for its sleek design and advanced features. It features a high-resolution display, powerful camera, and robust performance.",https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s7/thumbnail.webp
132,Samsung Galaxy S8,Samsung,smartphones,499.99,19.45,4.4,0,"The Samsung Galaxy S8 is a premium smartphone with an Infinity Display, offering a stunning visual experience. It boasts advanced camera capabilities and cutting-edge technology.",https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s8/thumbnail.webp
133,Samsung Galaxy S10,Samsung,smartphones,699.99,5.59,3.06,19,"The Samsung Galaxy S10 is a flagship device featuring a dynamic AMOLED display, versatile camera system, and powerful performance. It represents innovation and excellence in smartphone technology.",https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s10/thumbnail.webp
134,Vivo S1,Vivo,smartphones,249.99,10.17,3.5,50,"The Vivo S1 is a stylish and mid-range smartphone offering a blend of design and performance. It features a vibrant display, capable camera system, and reliable functionality.",https://cdn.dummyjson.com/product-images/smartphones/vivo-s1/thumbnail.webp
135,Vivo V9,Vivo,smartphones,299.99,17.67,3.6,82,"The Vivo V9 is a smartphone known for its sleek design and emphasis on capturing high-quality selfies. It features a notch display, dual-camera setup, and a modern design.",https://cdn.dummyjson.com/product-images/smartphones/vivo-v9/thumbnail.webp
136,Vivo X21,Vivo,smartphones,499.99,17.41,4.26,7,"The Vivo X21 is a premium smartphone with a focus on cutting-edge technology. It features an in-display fingerprint sensor, a high-resolution display, and advanced camera capabilities.",https://cdn.dummyjson.com/product-images/smartphones/vivo-x21/thumbnail.webp
137,American Football,,sports-accessories,19.99,4.93,4.91,53,"The American Football is a classic ball used in American football games. It is designed for throwing and catching, making it an essential piece of equipment for the sport.",https://cdn.dummyjson.com/product-images/sports-accessories/american-football/thumbnail.webp
138,Baseball Ball,,sports-accessories,8.99,1.71,2.57,100,"The Baseball Ball is a standard baseball used in baseball games. It features a durable leather cover and is designed for pitching, hitting, and fielding in the game of baseball.",https://cdn.dummyjson.com/product-images/sports-accessories/baseball-ball/thumbnail.webp
139,Baseball Glove,,sports-accessories,24.99,2.9,3.96,22,"The Baseball Glove is a protective glove worn by baseball players. It is designed to catch and field the baseball, providing players with comfort and control during the game.",https://cdn.dummyjson.com/product-images/sports-accessories/baseball-glove/thumbnail.webp
140,Basketball,,sports-accessories,14.99,7.44,4.66,75,"The Basketball is a standard ball used in basketball games. It is designed for dribbling, shooting, and passing in the game of basketball, suitable for both indoor and outdoor play.",https://cdn.dummyjson.com/product-images/sports-accessories/basketball/thumbnail.webp
141,Basketball Rim,,sports-accessories,39.99,7.74,4.6,43,The Basketball Rim is a sturdy hoop and net assembly mounted on a basketball backboard. It provides a target for shooting and scoring in the game of basketball.,https://cdn.dummyjson.com/product-images/sports-accessories/basketball-rim/thumbnail.webp
142,Cricket Ball,,sports-accessories,12.99,8.63,3.53,30,"The Cricket Ball is a hard leather ball used in the sport of cricket. It is bowled and batted in the game, and its hardness and seam contribute to the dynamics of cricket play.",https://cdn.dummyjson.com/product-images/sports-accessories/cricket-ball/thumbnail.webp
143,Cricket Bat,,sports-accessories,29.99,3.29,3.17,98,The Cricket Bat is an essential piece of cricket equipment used by batsmen to hit the cricket ball. It is made of wood and comes in various sizes and designs.,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-bat/thumbnail.webp
144,Cricket Helmet,,sports-accessories,44.99,9.64,4.69,10,"The Cricket Helmet is a protective headgear worn by cricket players, especially batsmen and wicketkeepers. It provides protection against fast bowling and bouncers.",https://cdn.dummyjson.com/product-images/sports-accessories/cricket-helmet/thumbnail.webp
145,Cricket Wicket,,sports-accessories,29.99,16.93,4.73,25,"The Cricket Wicket is a set of three stumps and two bails, forming a wicket used in the sport of cricket. Batsmen aim to protect the wicket while scoring runs.",https://cdn.dummyjson.com/product-images/sports-accessories/cricket-wicket/thumbnail.webp
146,Feather Shuttlecock,,sports-accessories,5.99,2.95,2.85,95,"The Feather Shuttlecock is used in the sport of badminton. It features natural feathers and is designed for high-speed play, providing stability and accuracy during matches.",https://cdn.dummyjson.com/product-images/sports-accessories/feather-shuttlecock/thumbnail.webp
147,Football,,sports-accessories,17.99,5.15,3.28,96,"The Football, also known as a soccer ball, is the standard ball used in the sport of football (soccer). It is designed for kicking and passing in the game.",https://cdn.dummyjson.com/product-images/sports-accessories/football/thumbnail.webp
148,Golf Ball,,sports-accessories,9.99,17.37,4.3,84,"The Golf Ball is a small ball used in the sport of golf. It features dimples on its surface, providing aerodynamic lift and distance when struck by a golf club.",https://cdn.dummyjson.com/product-images/sports-accessories/golf-ball/thumbnail.webp
149,Iron Golf,,sports-accessories,49.99,6.53,4.41,90,"The Iron Golf is a type of golf club designed for various golf shots. It features a solid metal head and is used for approach shots, chipping, and other golfing techniques.",https://cdn.dummyjson.com/product-images/sports-accessories/iron-golf/thumbnail.webp
150,Metal Baseball Bat,,sports-accessories,29.99,19.51,4.66,16,The Metal Baseball Bat is a durable and lightweight baseball bat made from metal alloys. It is commonly used in baseball games for hitting and batting practice.,https://cdn.dummyjson.com/product-images/sports-accessories/metal-baseball-bat/thumbnail.webp
151,Tennis Ball,,sports-accessories,6.99,11.76,4.06,28,The Tennis Ball is a standard ball used in the sport of tennis. It is designed for bouncing and hitting with tennis rackets during matches or practice sessions.,https://cdn.dummyjson.com/product-images/sports-accessories/tennis-ball/thumbnail.webp
152,Tennis Racket,,sports-accessories,49.99,19.61,4.03,6,"The Tennis Racket is an essential piece of equipment used in the sport of tennis. It features a frame with strings and a grip, allowing players to hit the tennis ball.",https://cdn.dummyjson.com/product-images/sports-accessories/tennis-racket/thumbnail.webp
153,Volleyball,,sports-accessories,11.99,12.25,3.84,0,"The Volleyball is a standard ball used in the sport of volleyball. It is designed for passing, setting, and spiking over the net during volleyball matches.",https://cdn.dummyjson.com/product-images/sports-accessories/volleyball/thumbnail.webp
154,Black Sun Glasses,Fashion Shades,sunglasses,29.99,4.94,4.41,60,"The Black Sun Glasses are a classic and stylish choice, featuring a sleek black frame and tinted lenses. They provide both UV protection and a fashionable look.",https://cdn.dummyjson.com/product-images/sunglasses/black-sun-glasses/thumbnail.webp
155,Classic Sun Glasses,Fashion Shades,sunglasses,24.99,4.94,3.86,1,The Classic Sun Glasses offer a timeless design with a neutral frame and UV-protected lenses. These sunglasses are versatile and suitable for various occasions.,https://cdn.dummyjson.com/product-images/sunglasses/classic-sun-glasses/thumbnail.webp
156,Green and Black Glasses,Fashion Shades,sunglasses,34.99,1.01,4.55,24,"The Green and Black Glasses feature a bold combination of green and black colors, adding a touch of vibrancy to your eyewear collection. They are both stylish and eye-catching.",https://cdn.dummyjson.com/product-images/sunglasses/green-and-black-glasses/thumbnail.webp
157,Party Glasses,Fashion Fun,sunglasses,19.99,11.22,2.79,86,"The Party Glasses are designed to add flair to your party outfit. With unique shapes or colorful frames, they're perfect for adding a playful touch to your look during celebrations.",https://cdn.dummyjson.com/product-images/sunglasses/party-glasses/thumbnail.webp
158,Sunglasses,Fashion Shades,sunglasses,22.99,1.51,3.02,27,The Sunglasses offer a classic and simple design with a focus on functionality. These sunglasses provide essential UV protection while maintaining a timeless look.,https://cdn.dummyjson.com/product-images/sunglasses/sunglasses/thumbnail.webp
159,iPad Mini 2021 Starlight,Apple,tablets,499.99,3.64,3.18,47,"The iPad Mini 2021 in Starlight is a compact and powerful tablet from Apple. Featuring a stunning Retina display, powerful A-series chip, and a sleek design, it offers a premium tablet experience.",https://cdn.dummyjson.com/product-images/tablets/ipad-mini-2021-starlight/thumbnail.webp
160,Samsung Galaxy Tab S8 Plus Grey,Samsung,tablets,599.99,13.31,4.68,62,"The Samsung Galaxy Tab S8 Plus in Grey is a high-performance Android tablet by Samsung. With a large AMOLED display, powerful processor, and S Pen support, it's ideal for productivity and entertainment.",https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-s8-plus-grey/thumbnail.webp
161,Samsung Galaxy Tab White,Samsung,tablets,349.99,18.2,3.72,92,"The Samsung Galaxy Tab in White is a sleek and versatile Android tablet. With a vibrant display, long-lasting battery, and a range of features, it offers a great user experience for various tasks.",https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp
162,Blue Frock,,tops,29.99,12.13,4.17,52,"The Blue Frock is a charming and stylish dress for various occasions. With a vibrant blue color and a comfortable design, it adds a touch of elegance to your wardrobe.",https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp
163,Girl Summer Dress,,tops,19.99,19.2,4.77,43,"The Girl Summer Dress is a cute and breezy dress designed for warm weather. With playful patterns and lightweight fabric, it's perfect for keeping cool and stylish during the summer.",https://cdn.dummyjson.com/product-images/tops/girl-summer-dress/thumbnail.webp
164,Gray Dress,,tops,34.99,14.28,2.72,55,"The Gray Dress is a versatile and chic option for various occasions. With a neutral gray color, it can be dressed up or down, making it a wardrobe staple for any fashion-forward individual.",https://cdn.dummyjson.com/product-images/tops/gray-dress/thumbnail.webp
165,Short Frock,,tops,24.99,13.45,3.23,22,"The Short Frock is a playful and trendy dress with a shorter length. Ideal for casual outings or special occasions, it combines style and comfort for a fashionable look.",https://cdn.dummyjson.com/product-images/tops/short-frock/thumbnail.webp
166,Tartan Dress,,tops,39.99,12.95,4.05,73,"The Tartan Dress features a classic tartan pattern, bringing a timeless and sophisticated touch to your wardrobe. Perfect for fall and winter, it adds a hint of traditional charm.",https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp
167,300 Touring,Chrysler,vehicle,28999.99,3.98,4.05,54,"The 300 Touring is a stylish and comfortable sedan, known for its luxurious features and smooth performance.",https://cdn.dummyjson.com/product-images/vehicle/300-touring/thumbnail.webp
168,Charger SXT RWD,Dodge,vehicle,32999.99,8.23,2.58,57,"The Charger SXT RWD is a powerful and sporty rear-wheel-drive sedan, offering a blend of performance and practicality.",https://cdn.dummyjson.com/product-images/vehicle/charger-sxt-rwd/thumbnail.webp
169,Dodge Hornet GT Plus,Dodge,vehicle,24999.99,2.63,2.65,82,"The Dodge Hornet GT Plus is a compact and agile hatchback, perfect for urban driving with a touch of sportiness.",https://cdn.dummyjson.com/product-images/vehicle/dodge-hornet-gt-plus/thumbnail.webp
170,Durango SXT RWD,Dodge,vehicle,36999.99,16.44,4.07,95,"The Durango SXT RWD is a spacious and versatile SUV, known for its strong performance and family-friendly features.",https://cdn.dummyjson.com/product-images/vehicle/durango-sxt-rwd/thumbnail.webp
171,Pacifica Touring,Chrysler,vehicle,31999.99,14.76,3.62,53,"The Pacifica Touring is a stylish and well-equipped minivan, offering comfort and convenience for family journeys.",https://cdn.dummyjson.com/product-images/vehicle/pacifica-touring/thumbnail.webp
172,Blue Women's Handbag,Fashionista,womens-bags,49.99,17.88,2.92,76,"The Blue Women's Handbag is a stylish and spacious accessory for everyday use. With a vibrant blue color and multiple compartments, it combines fashion and functionality.",https://cdn.dummyjson.com/product-images/womens-bags/blue-women's-handbag/thumbnail.webp
173,Heshe Women's Leather Bag,Heshe,womens-bags,129.99,3.87,4.92,99,"The Heshe Women's Leather Bag is a luxurious and high-quality leather bag for the sophisticated woman. With a timeless design and durable craftsmanship, it's a versatile accessory.",https://cdn.dummyjson.com/product-images/womens-bags/heshe-women's-leather-bag/thumbnail.webp
174,Prada Women Bag,Prada,womens-bags,599.99,14.09,2.71,75,"The Prada Women Bag is an iconic designer bag that exudes elegance and luxury. Crafted with precision and featuring the Prada logo, it's a statement piece for fashion enthusiasts.",https://cdn.dummyjson.com/product-images/womens-bags/prada-women-bag/thumbnail.webp
175,White Faux Leather Backpack,Urban Chic,womens-bags,39.99,15.2,3.36,39,"The White Faux Leather Backpack is a trendy and practical backpack for the modern woman. With a sleek white design and ample storage space, it's perfect for both casual and on-the-go styles.",https://cdn.dummyjson.com/product-images/womens-bags/white-faux-leather-backpack/thumbnail.webp
176,Women Handbag Black,Elegance Collection,womens-bags,59.99,11.63,2.89,11,"The Women Handbag in Black is a classic and versatile accessory that complements various outfits. With a timeless black color and functional design, it's a must-have in every woman's wardrobe.",https://cdn.dummyjson.com/product-images/womens-bags/women-handbag-black/thumbnail.webp
177,Black Women's Gown,,womens-dresses,129.99,10.48,3.64,25,"The Black Women's Gown is an elegant and timeless evening gown. With a sleek black design, it's perfect for formal events and special occasions, exuding sophistication and style.",https://cdn.dummyjson.com/product-images/womens-dresses/black-women's-gown/thumbnail.webp
178,Corset Leather With Skirt,,womens-dresses,89.99,16.26,3.05,30,"The Corset Leather With Skirt is a bold and edgy ensemble that combines a stylish corset with a matching skirt. Ideal for fashion-forward individuals, it makes a statement at any event.",https://cdn.dummyjson.com/product-images/womens-dresses/corset-leather-with-skirt/thumbnail.webp
179,Corset With Black Skirt,,womens-dresses,79.99,15.06,4.52,33,The Corset With Black Skirt is a chic and versatile outfit that pairs a fashionable corset with a classic black skirt. It offers a trendy and coordinated look for various occasions.,https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/thumbnail.webp
180,Dress Pea,,womens-dresses,49.99,17.68,4.88,6,"The Dress Pea is a stylish and comfortable dress with a pea pattern. Perfect for casual outings, it adds a playful and fun element to your wardrobe, making it a great choice for day-to-day wear.",https://cdn.dummyjson.com/product-images/womens-dresses/dress-pea/thumbnail.webp
181,Marni Red & Black Suit,,womens-dresses,179.99,19.02,4.48,62,"The Marni Red & Black Suit is a sophisticated and fashion-forward suit ensemble. With a combination of red and black tones, it showcases a modern design for a bold and confident look.",https://cdn.dummyjson.com/product-images/womens-dresses/marni-red-&-black-suit/thumbnail.webp
182,Green Crystal Earring,,womens-jewellery,29.99,15.24,3.96,54,"The Green Crystal Earring is a dazzling accessory that features a vibrant green crystal. With a classic design, it adds a touch of elegance to your ensemble, perfect for formal or special occasions.",https://cdn.dummyjson.com/product-images/womens-jewellery/green-crystal-earring/thumbnail.webp
183,Green Oval Earring,,womens-jewellery,24.99,15.18,3.57,73,"The Green Oval Earring is a stylish and versatile accessory with a unique oval shape. Whether for casual or dressy occasions, its green hue and contemporary design make it a standout piece.",https://cdn.dummyjson.com/product-images/womens-jewellery/green-oval-earring/thumbnail.webp
184,Tropical Earring,,womens-jewellery,19.99,0.76,4.4,1,"The Tropical Earring is a fun and playful accessory inspired by tropical elements. Featuring vibrant colors and a lively design, it's perfect for adding a touch of summer to your look.",https://cdn.dummyjson.com/product-images/womens-jewellery/tropical-earring/thumbnail.webp
185,Black & Brown Slipper,Comfort Trends,womens-shoes,19.99,3.33,2.53,3,"The Black & Brown Slipper is a comfortable and stylish choice for casual wear. Featuring a blend of black and brown colors, it adds a touch of sophistication to your relaxation.",https://cdn.dummyjson.com/product-images/womens-shoes/black-&-brown-slipper/thumbnail.webp
186,Calvin Klein Heel Shoes,Calvin Klein,womens-shoes,79.99,3.19,4.92,93,"Calvin Klein Heel Shoes are elegant and sophisticated, designed for formal occasions. With a classic design and high-quality materials, they complement your stylish ensemble.",https://cdn.dummyjson.com/product-images/womens-shoes/calvin-klein-heel-shoes/thumbnail.webp
187,Golden Shoes Woman,Fashion Diva,womens-shoes,49.99,13.93,3.26,88,"The Golden Shoes for Women are a glamorous choice for special occasions. Featuring a golden hue and stylish design, they add a touch of luxury to your outfit.",https://cdn.dummyjson.com/product-images/womens-shoes/golden-shoes-woman/thumbnail.webp
188,Pampi Shoes,Pampi,womens-shoes,29.99,14.14,3.05,49,"Pampi Shoes offer a blend of comfort and style for everyday use. With a versatile design, they are suitable for various casual occasions, providing a trendy and relaxed look.",https://cdn.dummyjson.com/product-images/womens-shoes/pampi-shoes/thumbnail.webp
189,Red Shoes,Fashion Express,womens-shoes,34.99,17.69,3.25,7,"The Red Shoes make a bold statement with their vibrant red color. Whether for a party or a casual outing, these shoes add a pop of color and style to your wardrobe.",https://cdn.dummyjson.com/product-images/womens-shoes/red-shoes/thumbnail.webp
190,IWC Ingenieur Automatic Steel,IWC,womens-watches,4999.99,9.45,2.93,90,"The IWC Ingenieur Automatic Steel watch is a durable and sophisticated timepiece. With a stainless steel case and automatic movement, it combines precision and style for watch enthusiasts.",https://cdn.dummyjson.com/product-images/womens-watches/iwc-ingenieur-automatic-steel/thumbnail.webp
191,Rolex Cellini Moonphase,Rolex,womens-watches,15999.99,4.11,3.83,52,"The Rolex Cellini Moonphase watch is a masterpiece of horology. Featuring a moon phase complication, it showcases the craftsmanship and elegance that Rolex is renowned for.",https://cdn.dummyjson.com/product-images/womens-watches/rolex-cellini-moonphase/thumbnail.webp
192,Rolex Datejust Women,Rolex,womens-watches,10999.99,15.94,2.86,4,"The Rolex Datejust Women's watch is an iconic timepiece designed for women. With a timeless design and a date complication, it offers both elegance and functionality.",https://cdn.dummyjson.com/product-images/womens-watches/rolex-datejust-women/thumbnail.webp
193,Watch Gold for Women,Fashion Gold,womens-watches,799.99,18.34,4.24,0,"The Gold Women's Watch is a stunning accessory that combines luxury and style. Featuring a gold-plated case and a chic design, it adds a touch of glamour to any outfit.",https://cdn.dummyjson.com/product-images/womens-watches/watch-gold-for-women/thumbnail.webp
194,Women's Wrist Watch,Fashion Co.,womens-watches,129.99,12.6,3.52,12,"The Women's Wrist Watch is a versatile and fashionable timepiece for everyday wear. With a comfortable strap and a simple yet elegant design, it complements various styles.",https://cdn.dummyjson.com/product-images/womens-watches/women's-wrist-watch/thumbnail.webp
